a	a |
mbao	m b a o |
mbavu	m b a v u |
mbaya	m b a y a |
mbegu	m b e g u |
mbele	m b e l e |
mbelea	m b e l e a |
mbelgiji	m b e l g i j i |
mbichi	m b i c h i |
mbiguni	m b i g u n i |
mbili	m b i l i |
mbingu	m b i n g u |
mbinguni	m b i n g u n i |
mbinu	m b i n u |
mbio	m b i o |
mboga	m b o g a |
mbogamboga	m b o g a m b o g a |
mbolo	m b o l o |
mbuga	m b u g a |
mbunifu	m b u n i f u |
mbuzi	m b u z i |
mbwa	m b w a |
mchafu	m c h a f u |
mchana	m c h a n a |
mchanga	m c h a n g a |
mchanganyiko	m c h a n g a n y i k o |
mchango	m c h a n g o |
mchawi	m c h a w i |
mchele	m c h e l e |
mcheshi	m c h e s h i |
mcheza	m c h e z a |
mchezaji	m c h e z a j i |
mchezo	m c h e z o |
mchina	m c h i n a |
mchoro	m c h o r o |
mchumba	m c h u m b a |
mchungaji	m c h u n g a j i |
mchunguzi	m c h u n g u z i |
mda	m d a |
mdogo	m d o g o |
mdomo	m d o m o |
mead	m e a d |
mecanique	m e c a n i q u e |
mechi	m e c h i |
médaille	m é d a i l l e |
medecine	m e d e c i n e |
medical	m e d i c a l |
medicine	m e d i c i n e |
meg	m e g |
meiji	m e i j i |
melanie	m e l a n i e |
melbourne	m e l b o u r n e |
meli	m e l i |
melinda	m e l i n d a |
mélodrame	m é l o d r a m e |
mema	m e m a |
mémoire	m é m o i r e |
mémoires	m é m o i r e s |
memon	m e m o n |
mende	m e n d e |
mengi	m e n g i |
mengine	m e n g i n e |
meno	m e n o |
mensa	m e n s a |
menthol	m e n t h o l |
menu	m e n u |
merkel	m e r k e l |
mers	m e r s |
merscov	m e r s c o v |
meryton	m e r y t o n |
metal	m e t a l |
metawiki	m e t a w i k i |
metre	m e t r e |
metres	m e t r e s |
metro	m e t r o |
mexico	m e x i c o |
meya	m e y a |
meza	m e z a |
mfalme	m f a l m e |
mfano	m f a n o |
mfanya	m f a n y a |
mfanyabiashara	m f a n y a b i a s h a r a |
mfanyakazi	m f a n y a k a z i |
mfanyakazimuumbaji	m f a n y a k a z i m u u m b a j i |
mfatano	m f a t a n o |
mfugaji	m f u g a j i |
mfuko	m f u k o |
mfululizo	m f u l u l i z o |
mfumo	m f u m o |
mfungwa	m f u n g w a |
mfupa	m f u p a |
mfupi	m f u p i |
mganga	m g a n g a |
mgawanyiko	m g a w a n y i k o |
mgeni	m g e n i |
mgomo	m g o m o |
mgongo	m g o n g o |
mgonjwa	m g o n j w a |
mgulu	m g u l u |
mgumu	m g u m u |
mguu	m g u u |
mh	m h |
mheshimiwa	m h e s h i m i w a |
mhh	m h h |
mhindi	m h i n d i |
mhuri	m h u r i |
mi	m i |
mia	m i a |
miaka	m i a k a |
miamba	m i a m b a |
miami	m i a m i |
miasme	m i a s m e |
miatano	m i a t a n o |
miauu	m i a u u |
mibrobe	m i b r o b e |
michael	m i c h a e l |
michanganyiko	m i c h a n g a n y i k o |
michango	m i c h a n g o |
michelle	m i c h e l l e |
michezo	m i c h e z o |
michoro	m i c h o r o |
mickey	m i c k e y |
micro	m i c r o |
middleton	m i d d l e t o n |
midomo	m i d o m o |
miéla	m i é l a |
mielekezo	m i e l e k e z o |
mierscheid	m i e r s c h e i d |
miezi	m i e z i |
mifano	m i f a n o |
mifereji	m i f e r e j i |
mifuatano	m i f u a t a n o |
mifuko	m i f u k o |
mifumo	m i f u m o |
mifupa	m i f u p a |
migulu	m i g u l u |
miguu	m i g u u |
mihindi	m i h i n d i |
miili	m i i l i |
miji	m i j i |
mikanda	m i k a n d a |
mikataba	m i k a t a b a |
mikate	m i k a t e |
mikato	m i k a t o |
mike	m i k e |
miki	m i k i |
mikomo	m i k o m o |
mikono	m i k o n o |
mikrobe	m i k r o b e |
mikubwa	m i k u b w a |
mikunjo	m i k u n j o |
mikusanyiko	m i k u s a n y i k o |
mikusanyo	m i k u s a n y o |
mikutano	m i k u t a n o |
mila	m i l a |
milango	m i l a n g o |
milele	m i l e l e |
milembe	m i l e m b e |
miles	m i l e s |
milima	m i l i m a |
milioni	m i l i o n i |
milisha	m i l i s h a |
miller	m i l l e r |
millionea	m i l l i o n e a |
mimba	m i m b a |
mimea	m i m e a |
mimi	m i m i |
min	m i n |
mina	m i n a |
minaacha	m i n a a c h a |
minaachana	m i n a a c h a n a |
minaahidi	m i n a a h i d i |
minaamini	m i n a a m i n i |
minaandaa	m i n a a n d a a |
minaanza	m i n a a n z a |
minaanzaka	m i n a a n z a k a |
minabakiaka	m i n a b a k i a k a |
minabebaka	m i n a b e b a k a |
minachagua	m i n a c h a g u a |
minachelewa	m i n a c h e l e w a |
minachoka	m i n a c h o k a |
minachukiaka	m i n a c h u k i a k a |
minachunga	m i n a c h u n g a |
minadanganya	m i n a d a n g a n y a |
minaehoka	m i n a e h o k a |
“minaenda	“ m i n a e n d a |
minaenda	m i n a e n d a |
minaendaka	m i n a e n d a k a |
minaendelea	m i n a e n d e l e a |
minafahamia	m i n a f a h a m i a |
minafanya	m i n a f a n y a |
minafikiria	m i n a f i k i r i a |
minafikiriaka	m i n a f i k i r i a k a |
minafungua	m i n a f u n g u a |
minafurahi	m i n a f u r a h i |
minafurahiaka	m i n a f u r a h i a k a |
minagundua	m i n a g u n d u a |
minahakikisha	m i n a h a k i k i s h a |
minaiita	m i n a i i t a |
minaishi	m i n a i s h i |
minaita	m i n a i t a |
minaitika	m i n a i t i k a |
minaitwa	m i n a i t w a |
minajaribiwaka	m i n a j a r i b i w a k a |
minajenga	m i n a j e n g a |
minajibiaka	m i n a j i b i a k a |
minajibu	m i n a j i b u |
minajifunza	m i n a j i f u n z a |
minajisikia	m i n a j i s i k i a |
minajisikiaka	m i n a j i s i k i a k a |
minajitangaza	m i n a j i t a n g a z a |
minajiuliza	m i n a j i u l i z a |
minajivunia	m i n a j i v u n i a |
minajua	m i n a j u a |
minajuta	m i n a j u t a |
minakatala	m i n a k a t a l a |
minakijua	m i n a k i j u a |
minakosa	m i n a k o s a |
minakuambia	m i n a k u a m b i a |
minakubali	m i n a k u b a l i |
minakufaamisha	m i n a k u f a a m i s h a |
minakuhakikishia	m i n a k u h a k i k i s h i a |
minakuhusisha	m i n a k u h u s i s h a |
minakuja	m i n a k u j a |
minakujua	m i n a k u j u a |
minakula	m i n a k u l a |
minakulapia	m i n a k u l a p i a |
minakumbuka	m i n a k u m b u k a |
minakunywa	m i n a k u n y w a |
minakuomba	m i n a k u o m b a |
minakupangia	m i n a k u p a n g i a |
minakupenda	m i n a k u p e n d a |
minakushauria	m i n a k u s h a u r i a |
minakusumbua	m i n a k u s u m b u a |
minakuunga	m i n a k u u n g a |
minakuwa	m i n a k u w a |
minakuya	m i n a k u y a |
minakwambia	m i n a k w a m b i a |
minakwenda	m i n a k w e n d a |
minalala	m i n a l a l a |
minalamuka	m i n a l a m u k a |
minalapa	m i n a l a p a |
minalewa	m i n a l e w a |
minalia	m i n a l i a |
minalipaka	m i n a l i p a k a |
minalota	m i n a l o t a |
minalotaka	m i n a l o t a k a |
minamaliza	m i n a m a l i z a |
minambulaka	m i n a m b u l a k a |
minamujua	m i n a m u j u a |
minamuonaka	m i n a m u o n a k a |
minaogopa	m i n a o g o p a |
minaogopaka	m i n a o g o p a k a |
minaomba	m i n a o m b a |
minaona	m i n a o n a |
minaonaka	m i n a o n a k a |
minaondoa	m i n a o n d o a |
minaondoka	m i n a o n d o k a |
minaonekana	m i n a o n e k a n a |
minaongea	m i n a o n g e a |
minaongoza	m i n a o n g o z a |
minapashwa	m i n a p a s h w a |
minapata	m i n a p a t a |
minapataka	m i n a p a t a k a |
minapenda	m i n a p e n d a |
minapendaka	m i n a p e n d a k a |
minapendelea	m i n a p e n d e l e a |
minapiga	m i n a p i g a |
minapimaka	m i n a p i m a k a |
minapoteza	m i n a p o t e z a |
minapumuzika	m i n a p u m u z i k a |
minara	m i n a r a |
minarudi	m i n a r u d i |
minarudia	m i n a r u d i a |
minarudiana	m i n a r u d i a n a |
minasafiri	m i n a s a f i r i |
minasema	m i n a s e m a |
minasemaka	m i n a s e m a k a |
minashauri	m i n a s h a u r i |
minashinda	m i n a s h i n d a |
minashindaka	m i n a s h i n d a k a |
minashuka	m i n a s h u k a |
minasikia	m i n a s i k i a |
minasikiaka	m i n a s i k i a k a |
minasikilizaka	m i n a s i k i l i z a k a |
minasikitika	m i n a s i k i t i k a |
minasoma	m i n a s o m a |
minasomaka	m i n a s o m a k a |
minatafuta	m i n a t a f u t a |
minataka	m i n a t a k a |
minatembezaka	m i n a t e m b e z a k a |
minatengeneza	m i n a t e n g e n e z a |
minatengenezaka	m i n a t e n g e n e z a k a |
minatoka	m i n a t o k a |
minatubu	m i n a t u b u |
minatumaini	m i n a t u m a i n i |
minatumani	m i n a t u m a n i |
minaumia	m i n a u m i a |
minauzaka	m i n a u z a k a |
minauzisha	m i n a u z i s h a |
minawaza	m i n a w a z a |
minaweza	m i n a w e z a |
minazani	m i n a z a n i |
minazijibiaka	m i n a z i j i b i a k a |
mingi	m i n g i |
mingurumo	m i n g u r u m o |
minh	m i n h |
minmwambiaka	m i n m w a m b i a k a |
minute	m i n u t e |
minyama	m i n y a m a |
minyofu	m i n y o f u |
miongoni	m i o n g o n i |
miongozo	m i o n g o z o |
mioyo	m i o y o |
mipaka	m i p a k a |
mipangilio	m i p a n g i l i o |
mipango	m i p a n g o |
mipira	m i p i r a |
miradi	m i r a d i |
mirefu	m i r e f u |
miripuko	m i r i p u k o |
misa	m i s a |
misaada	m i s a a d a |
misàjour	m i s à j o u r |
misalaba	m i s a l a b a |
misemo	m i s e m o |
misemwa	m i s e m w a |
mishahara	m i s h a h a r a |
mishale	m i s h a l e |
mishipa	m i s h i p a |
mishuma	m i s h u m a |
mishumaa	m i s h u m a a |
misikiti	m i s i k i t i |
misingi	m i s i n g i |
misitajuwaka	m i s i t a j u w a k a |
misitu	m i s i t u |
misri	m i s r i |
miss	m i s s |
mistari	m i s t a r i |
mita	m i t a |
mitaa	m i t a a |
mitandao	m i t a n d a o |
mitaro	m i t a r o |
mitatu	m i t a t u |
mitchell	m i t c h e l l |
miteremuko	m i t e r e m u k o |
miti	m i t i |
miungu	m i u n g u |
miviringo	m i v i r i n g o |
miwako	m i w a k o |
miwili	m i w i l i |
miye	m i y e |
miyepeke	m i y e p e k e |
mizaa	m i z a a |
mizabibu	m i z a b i b u |
mizigo	m i z i g o |
miziki	m i z i k i |
mizimu	m i z i m u |
mizio	m i z i o |
mizizi	m i z i z i |
mizozo	m i z o z o |
mizumu	m i z u m u |
mizunguko	m i z u n g u k o |
mjamuzito	m j a m u z i t o |
mjane	m j a n e |
mjapani	m j a p a n i |
mjerumani	m j e r u m a n i |
mji	m j i |
mjini	m j i n i |
mjumbe	m j u m b e |
mkaaji	m k a a j i |
mkali	m k a l i |
mkamilifu	m k a m i l i f u |
mkanda	m k a n d a |
mkataba	m k a t a b a |
mkate	m k a t e |
mkato	m k a t o |
mkazo	m k a z o |
mke	m k e |
mkimbiaji	m k i m b i a j i |
mkono	m k o n o |
mkononi	m k o n o n i |
mkopo	m k o p o |
mkubwa	m k u b w a |
mkulima	m k u l i m a |
mkunjo	m k u n j o |
mkusanyiko	m k u s a n y i k o |
mkusanyo	m k u s a n y o |
mkutano	m k u t a n o |
mkuu	m k u u |
mkweli	m k w e l i |
mlango	m l a n g o |
mlemavu	m l e m a v u |
mlevi	m l e v i |
mlezi	m l e z i |
mlima	m l i m a |
mlimo	m l i m o |
mlinzi	m l i n z i |
mlo	m l o |
mlolongo	m l o l o n g o |
mm	m m |
mmoja	m m o j a |
mn	m n |
mnada	m n a d a |
mnamo	m n a m o |
mnara	m n a r a |
mnyenyekevu	m n y e n y e k e v u |
mnyoo	m n y o o |
mode	m o d e |
modele	m o d e l e |
modeles	m o d e l e s |
modem	m o d e m |
modules	m o d u l e s |
mohamed	m o h a m e d |
moḥya	m o ḥ y a |
moja	m o j a |
molly	m o l l y |
monica	m o n i c a |
monnaie	m o n n a i e |
monoclonal	m o n o c l o n a l |
montant	m o n t a n t |
monter	m o n t e r |
moo	m o o |
moon	m o o n |
morning	m o r n i n g |
morphosyntaxiques	m o r p h o s y n t a x i q u e s |
mortimer	m o r t i m e r |
moscou	m o s c o u |
moshi	m o s h i |
moteli	m o t e l i |
moteur	m o t e u r |
moteurs	m o t e u r s |
motif	m o t i f |
moto	m o t o |
mouchoir	m o u c h o i r |
moulins	m o u l i n s |
mouloud	m o u l o u d |
mountain	m o u n t a i n |
mouron	m o u r o n |
moya	m o y a |
moyo	m o y o |
moyoni	m o y o n i |
mozzarela	m o z z a r e l a |
mpaka	m p a k a |
mpalestina	m p a l e s t i n a |
mpangilio	m p a n g i l i o |
mpango	m p a n g o |
mpatanishi	m p a t a n i s h i |
mpeg4	m p e g 4 |
mpelelezi	m p e l e l e z i |
mpendwa	m p e n d w a |
mpenzi	m p e n z i |
mph	m p h |
mpiga	m p i g a |
mpiganaji	m p i g a n a j i |
mpinzani	m p i n z a n i |
mpira	m p i r a |
mpishi	m p i s h i |
mpito	m p i t o |
mpotovu	m p o t o v u |
mpumbavu	m p u m b a v u |
mpunga	m p u n g a |
mpya	m p y a |
mradi	m r a d i |
mrefu	m r e f u |
mrembo	m r e m b o |
mripuko	m r i p u k o |
mrizi	m r i z i |
mrsa	m r s a |
msaada	m s a a d a |
msafiri	m s a f i r i |
msaidizi	m s a i d i z i |
msalaba	m s a l a b a |
msamaha	m s a m a h a |
msani	m s a n i |
msanii	m s a n i i |
msemaji	m s e m a j i |
msemwa	m s e m w a |
mshahara	m s h a h a r a |
mshauri	m s h a u r i |
mshikamano	m s h i k a m a n o |
mshindi	m s h i n d i |
mshipa	m s h i p a |
mshirika	m s h i r i k a |
mshituko	m s h i t u k o |
mshtakiwa	m s h t a k i w a |
mshtuko	m s h t u k o |
mshuhuda	m s h u h u d a |
msimamizi	m s i m a m i z i |
msimamo	m s i m a m o |
msimu	m s i m u |
msingi	m s i n g i |
msitu	m s i t u |
msomaji	m s o m a j i |
msukuma	m s u k u m a |
msukumo	m s u k u m o |
mtaa	m t a a |
mtaalamu	m t a a l a m u |
mtafiti	m t a f i t i |
mtakatifu	m t a k a t i f u |
mtakatifuagathe	m t a k a t i f u a g a t h e |
mtandao	m t a n d a o |
mtando	m t a n d o |
mtawala	m t a w a l a |
mtazamo	m t a z a m o |
mtego	m t e g o |
mteja	m t e j a |
mtengenezaji	m t e n g e n e z a j i |
mteremuko	m t e r e m u k o |
mtetemeko	m t e t e m e k o |
mti	m t i |
mtindo	m t i n d o |
mto	m t o |
mtoto	m t o t o |
mtu	m t u |
mtuanataka	m t u a n a t a k a |
mtuhumiwa	m t u h u m i w a |
mtuhuyo	m t u h u y o |
mtuinajulikana	m t u i n a j u l i k a n a |
mtumiaji	m t u m i a j i |
mtumishi	m t u m i s h i |
mtumwa	m t u m w a |
mtumwaminifu	m t u m w a m i n i f u |
mtumwenye	m t u m w e n y e |
mtungi	m t u n g i |
mtupu	m t u p u |
mtuumoya	m t u u m o y a |
mu	m u |
muachane	m u a c h a n e |
muache	m u a c h e |
muakishe	m u a k i s h e |
muandishi	m u a n d i s h i |
muangalia	m u a n g a l i a |
muangalifu	m u a n g a l i f u |
mubakie	m u b a k i e |
mubarabara	m u b a r a b a r a |
mubaya	m u b a y a |
mubeba	m u b e b a |
mubichi	m u b i c h i |
muchafu	m u c h a f u |
muchana	m u c h a n a |
muchanga	m u c h a n g a |
muchanganyiko	m u c h a n g a n y i k o |
muchango	m u c h a n g o |
muchele	m u c h e l e |
mucheshi	m u c h e s h i |
mucheza	m u c h e z a |
muchezaji	m u c h e z a j i |
muchezo	m u c h e z o |
muchoro	m u c h o r o |
muchoyo	m u c h o y o |
muchunge	m u c h u n g e |
mucoviscidose	m u c o v i s c i d o s e |
muda	m u d a |
mudogo	m u d o g o |
mudomo	m u d o m o |
mufano	m u f a n o |
mufanya	m u f a n y a |
mufanyakazi	m u f a n y a k a z i |
mufanye	m u f a n y e |
mufaransa	m u f a r a n s a |
mufata	m u f a t a |
mufereji	m u f e r e j i |
mufikilia	m u f i k i l i a |
mufuko	m u f u k o |
mufukoni	m u f u k o n i |
mufulilizo	m u f u l i l i z o |
mufumo	m u f u m o |
mufunge	m u f u n g e |
mufungule	m u f u n g u l e |
mufungwa	m u f u n g w a |
mufupa	m u f u p a |
mufurahishe	m u f u r a h i s h e |
muganga	m u g a n g a |
mugawanyiko	m u g a w a n y i k o |
mugeni	m u g e n i |
mugiriki	m u g i r i k i |
mugiza	m u g i z a |
mugongo	m u g o n g o |
mugumu	m u g u m u |
muhalifu	m u h a l i f u |
muhanga	m u h a n g a |
muharamia	m u h a r a m i a |
muheshimiwa	m u h e s h i m i w a |
muhimu	m u h i m u |
muhindi	m u h i n d i |
muhusika	m u h u s i k a |
muhutumiwa	m u h u t u m i w a |
muigizaji	m u i g i z a j i |
muishi	m u i s h i |
muislamu	m u i s l a m u |
muita	m u i t a |
muiweke	m u i w e k e |
mujanja	m u j a n j a |
muji	m u j i |
mujibia	m u j i b i a |
mujichunge	m u j i c h u n g e |
mujinga	m u j i n g a |
mujini	m u j i n i |
mujitayarishe	m u j i t a y a r i s h e |
mujomba	m u j o m b a |
mujuwe	m u j u w e |
mujuzi	m u j u z i |
mukaba	m u k a b a |
mukali	m u k a l i |
mukamilifu	m u k a m i l i f u |
mukandamizaji	m u k a n d a m i z a j i |
mukaramusi	m u k a r a m u s i |
mukarimu	m u k a r i m u |
mukata	m u k a t a |
mukazo	m u k a z o |
muke	m u k e |
muko	m u k o |
mukoba	m u k o b a |
mukondo	m u k o n d o |
mukono	m u k o n o |
mukorofi	m u k o r o f i |
mukosa	m u k o s a |
mukosefu	m u k o s e f u |
mukubwa	m u k u b w a |
mukulaji	m u k u l a j i |
mukulima	m u k u l i m a |
mukumbuka	m u k u m b u k a |
mukunjo	m u k u n j o |
mukusanyiko	m u k u s a n y i k o |
mukutano	m u k u t a n o |
mukuu	m u k u u |
mukuwe	m u k u w e |
mukwe	m u k w e |
mukweli	m u k w e l i |
mulango	m u l a n g o |
mulembe	m u l e m b e |
muleta	m u l e t a |
mulevi	m u l e v i |
mulifanya	m u l i f a n y a |
mulikuwa	m u l i k u w a |
mulinitembelea	m u l i n i t e m b e l e a |
mulinzi	m u l i n z i |
mulipashwa	m u l i p a s h w a |
mulisema	m u l i s e m a |
mulisikia	m u l i s i k i a |
muliyo	m u l i y o |
multiplexes	m u l t i p l e x e s |
mumarekani	m u m a r e k a n i |
mume	m u m e |
mumea	m u m e a |
mumiliki	m u m i l i k i |
mumoja	m u m o j a |
mumufuko	m u m u f u k o |
munaangalia	m u n a a n g a l i a |
munadanganya	m u n a d a n g a n y a |
munafanya	m u n a f a n y a |
munajitokeza	m u n a j i t o k e z a |
munajua	m u n a j u a |
munakuya	m u n a k u y a |
munamo	m u n a m o |
munamujua	m u n a m u j u a |
munane	m u n a n e |
munapashwa	m u n a p a s h w a |
munapata	m u n a p a t a |
munasikia	m u n a s i k i a |
munatafanya	m u n a t a f a n y a |
munataka	m u n a t a k a |
munatumikaka	m u n a t u m i k a k a |
munawe	m u n a w e |
munaweza	m u n a w e z a |
munene	m u n e n e |
mungali	m u n g a l i |
mungepashwa	m u n g e p a s h w a |
mungoje	m u n g o j e |
mungu	m u n g u |
mungurumo	m u n g u r u m o |
muniejupe	m u n i e j u p e |
munisaidie	m u n i s a i d i e |
munisamehe	m u n i s a m e h e |
munyama	m u n y a m a |
munyenyekevu	m u n y e n y e k e v u |
munyonge	m u n y o n g e |
munyumba	m u n y u m b a |
muoga	m u o g a |
muogeleaji	m u o g e l e a j i |
muomba	m u o m b a |
muona	m u o n a |
muonekana	m u o n e k a n a |
muonekano	m u o n e k a n o |
muongezeko	m u o n g e z e k o |
muongo	m u o n g o |
muongozaji	m u o n g o z a j i |
mupaka	m u p a k a |
mupambanaji	m u p a m b a n a j i |
mupanda	m u p a n d a |
mupanga	m u p a n g a |
mupange	m u p a n g e |
mupangilio	m u p a n g i l i o |
mupango	m u p a n g o |
mupatia	m u p a t i a |
mupatie	m u p a t i e |
mupenda	m u p e n d a |
mupendeza	m u p e n d e z a |
mupendwa	m u p e n d w a |
mupenzi	m u p e n z i |
mupepeo	m u p e p e o |
mupia	m u p i a |
mupiga	m u p i g a |
mupira	m u p i r a |
mupite	m u p i t e |
mupunga	m u p u n g a |
mupweke	m u p w e k e |
mupya	m u p y a |
muradi	m u r a d i |
muratibu	m u r a t i b u |
murefu	m u r e f u |
muripuko	m u r i p u k o |
murudie	m u r u d i e |
muruhusu	m u r u h u s u |
musaada	m u s a a d a |
musafiri	m u s a f i r i |
musaidia	m u s a i d i a |
musaidie	m u s a i d i e |
musako	m u s a k o |
musalaba	m u s a l a b a |
musaliti	m u s a l i t i |
musamaha	m u s a m a h a |
musanii	m u s a n i i |
muse	m u s e |
musée	m u s é e |
musees	m u s e e s |
musées	m u s é e s |
musema	m u s e m a |
musemaji	m u s e m a j i |
museme	m u s e m e |
musemi	m u s e m i |
musemo	m u s e m o |
musemwa	m u s e m w a |
mushahidi	m u s h a h i d i |
mushaidi	m u s h a i d i |
mushale	m u s h a l e |
mushara	m u s h a r a |
mushauri	m u s h a u r i |
mushenzi	m u s h e n z i |
mushindi	m u s h i n d i |
mushipa	m u s h i p a |
mushirika	m u s h i r i k a |
mushiriki	m u s h i r i k i |
mushituko	m u s h i t u k o |
mushona	m u s h o n a |
mushtakiwa	m u s h t a k i w a |
mushtuko	m u s h t u k o |
musichezee	m u s i c h e z e e |
musiendelee	m u s i e n d e l e e |
musiingie	m u s i i n g i e |
musijiguse	m u s i j i g u s e |
musijongelee	m u s i j o n g e l e e |
musikuwe	m u s i k u w e |
musimamizi	m u s i m a m i z i |
musimamo	m u s i m a m o |
musimo	m u s i m o |
musimu	m u s i m u |
musingi	m u s i n g i |
musique	m u s i q u e |
musisahau	m u s i s a h a u |
musiuzi	m u s i u z i |
musiwaze	m u s i w a z e |
musomaji	m u s o m a j i |
musome	m u s o m e |
musomi	m u s o m i |
mustari	m u s t a r i |
musukumo	m u s u k u m o |
musumari	m u s u m a r i |
mutachelewa	m u t a c h e l e w a |
mutaenda	m u t a e n d a |
mutafika	m u t a f i k a |
mutafunguliwa	m u t a f u n g u l i w a |
mutakatifu	m u t a k a t i f u |
mutandao	m u t a n d a o |
mutapata	m u t a p a t a |
mutapewa	m u t a p e w a |
mutawa	m u t a w a |
mutayarishe	m u t a y a r i s h e |
mutazamo	m u t a z a m o |
muteja	m u t e j a |
mutembelea	m u t e m b e l e a |
mutembeza	m u t e m b e z a |
mutenda	m u t e n d a |
mutengano	m u t e n g a n o |
muti	m u t i |
mutindo	m u t i n d o |
mutiririko	m u t i r i r i k o |
muto	m u t o |
mutoke	m u t o k e |
mutoni	m u t o n i |
mutosheke	m u t o s h e k e |
mutuelle	m u t u e l l e |
mutulivu	m u t u l i v u |
muuaji	m u u a j i |
muujiza	m u u j i z a |
muumbaji	m u u m b a j i |
muungano	m u u n g a n o |
muuwaji	m u u w a j i |
muuzaji	m u u z a j i |
muuzisha	m u u z i s h a |
muuzishaji	m u u z i s h a j i |
muvale	m u v a l e |
muviringo	m u v i r i n g o |
muvuke	m u v u k e |
muvumilivu	m u v u m i l i v u |
muvunaji	m u v u n a j i |
muvuto	m u v u t o |
muwazi	m u w a z i |
muwe	m u w e |
muwindaji	m u w i n d a j i |
muwongo	m u w o n g o |
muyahudi	m u y a h u d i |
muyomba	m u y o m b a |
muzaifu	m u z a i f u |
muziki	m u z i k i |
muzima	m u z i m a |
muzimu	m u z i m u |
muzizi	m u z i z i |
muzoefu	m u z o e f u |
muzungu	m u z u n g u |
muzuri	m u z u r i |
mvivu	m v i v u |
mvua	m v u a |
mvula	m v u l a |
mvuto	m v u t o |
mwa	m w a |
mwaimini	m w a i m i n i |
mwaka	m w a k a |
mwake	m w a k e |
mwakilishi	m w a k i l i s h i |
mwaliko	m w a l i k o |
mwalimu	m w a l i m u |
mwambao	m w a m b a o |
mwambie	m w a m b i e |
mwami	m w a m i |
mwaminia	m w a m i n i a |
mwaminifu	m w a m i n i f u |
mwana	m w a n a |
mwanaanga	m w a n a a n g a |
mwanadamu	m w a n a d a m u |
mwanafalsafa	m w a n a f a l s a f a |
mwanafunzi	m w a n a f u n z i |
mwanakijiji	m w a n a k i j i j i |
mwanamemba	m w a n a m e m b a |
mwanamke	m w a n a m k e |
mwanamuke	m w a n a m u k e |
mwanamume	m w a n a m u m e |
mwanamuziki	m w a n a m u z i k i |
mwanasayansi	m w a n a s a y a n s i |
mwanaseneti	m w a n a s e n e t i |
mwanasheria	m w a n a s h e r i a |
mwanasiasa	m w a n a s i a s a |
mwanauchumi	m w a n a u c h u m i |
mwanaume	m w a n a u m e |
mwandishi	m w a n d i s h i |
mwangalifu	m w a n g a l i f u |
mwangaza	m w a n g a z a |
mwangika	m w a n g i k a |
mwanzamwaka	m w a n z a m w a k a |
mwanzi	m w a n z i |
mwanzilishi	m w a n z i l i s h i |
mwanzo	m w a n z o |
mwanzoni	m w a n z o n i |
mwao	m w a o |
mwathiriwa	m w a t h i r i w a |
mwekunda	m w e k u n d a |
mwekundu	m w e k u n d u |
mwelekeo	m w e l e k e o |
mwema	m w e m a |
mwembamba	m w e m b a m b a |
mwendabazimu	m w e n d a b a z i m u |
mwendawazimu	m w e n d a w a z i m u |
mwende	m w e n d e |
mwendelee	m w e n d e l e e |
mwendesha	m w e n d e s h a |
mwendewazimu	m w e n d e w a z i m u |
mwendo	m w e n d o |
mwenendo	m w e n e n d o |
mwengine	m w e n g i n e |
mwenye	m w e n y e |
mwenyeji	m w e n y e j i |
mwenyenayo	m w e n y e n a y o |
mwenyenzi	m w e n y e n z i |
mwenyewe	m w e n y e w e |
mwenyi	m w e n y i |
mwenzake	m w e n z a k e |
mwenzako	m w e n z a k o |
mwepesi	m w e p e s i |
mwerevu	m w e r e v u |
mweshimiwa	m w e s h i m i w a |
mwetu	m w e t u |
mweupe	m w e u p e |
mweusi	m w e u s i |
mwezi	m w e z i |
mwezikwa	m w e z i k w a |
mwiba	m w i b a |
mwili	m w i l i |
mwimbaji	m w i m b a j i |
mwindaji	m w i n d a j i |
mwingi	m w i n g i |
mwingine	m w i n g i n e |
mwipwa	m w i p w a |
mwisho	m w i s h o |
mwitaliano	m w i t a l i a n o |
mwitu	m w i t u |
mwizi	m w i z i |
mwogeleaji	m w o g e l e a j i |
mwongozo	m w o n g o z o |
myriam	m y r i a m |
mzaa	m z a a |
mzaliwa	m z a l i w a |
mzazi	m z a z i |
mzee	m z e e |
mzembe	m z e m b e |
mzigo	m z i g o |
mziki	m z i k i |
mzima	m z i m a |
mzozo	m z o z o |
mzunguko	m z u n g u k o |
mzungumzaji	m z u n g u m z a j i |
mzuri	m z u r i |
n	n |
n95	n 9 5 |
na	n a |
naahidi	n a a h i d i |
naambia	n a a m b i a |
naamini	n a a m i n i |
naandamana	n a a n d a m a n a |
naandika	n a a n d i k a |
naandikwa	n a a n d i k w a |
naangalia	n a a n g a l i a |
naangazaka	n a a n g a z a k a |
naanza	n a a n z a |
naao	n a a o |
nabakia	n a b a k i a |
nabeba	n a b e b a |
nacheza	n a c h e z a |
nacho	n a c h o |
nachokeshana	n a c h o k e s h a n a |
nachora	n a c h o r a |
nachukia	n a c h u k i a |
nachunga	n a c h u n g a |
nadunda	n a d u n d a |
nae	n a e |
naelekea	n a e l e k e a |
naeleza	n a e l e z a |
naelezea	n a e l e z e a |
naenda	n a e n d a |
naendelea	n a e n d e l e a |
nafanana	n a f a n a n a |
nafanya	n a f a n y a |
nafasi	n a f a s i |
nafikiri	n a f i k i r i |
nafikiria	n a f i k i r i a |
