a	a |
fulu	f u l u |
fungola	f u n g o l a |
fwa	f w a |
fwakumputu	f w a k u m p u t u |
gaillard	g a i l l a r d |
galerie	g a l e r i e |
gambela	g a m b e l a |
garantie	g a r a n t i e |
garcon	g a r c o n |
gare	g a r e |
gauche	g a u c h e |
gbi	g b i |
gendarmerie	g e n d a r m e r i e |
general	g e n e r a l |
genomique	g e n o m i q u e |
geoges	g e o g e s |
georges	g e o r g e s |
gobelet	g o b e l e t |
godi	g o d i |
goma	g o m a |
gombe	g o m b e |
gombo	g o m b o |
goubald	g o u b a l d |
gouffre	g o u f f r e |
gouvernement	g o u v e r n e m e n t |
grand	g r a n d |
greve	g r e v e |
griffe	g r i f f e |
grimace	g r i m a c e |
gros	g r o s |
gubegube	g u b e g u b e |
guichet	g u i c h e t |
guvernema	g u v e r n e m a |
gynecologue	g y n e c o l o g u e |
he	h e |
hein	h e i n |
heure	h e u r e |
heureango	h e u r e a n g o |
heures	h e u r e s |
histoire	h i s t o i r e |
hollande	h o l l a n d e |
honorable	h o n o r a b l e |
hopital	h o p i t a l |
horloge	h o r l o g e |
hotel	h o t e l |
hussein	h u s s e i n |
idiofa	i d i o f a |
il	i l |
immeuble	i m m e u b l e |
influence	i n f l u e n c e |
initiative	i n i t i a t i v e |
inso	i n s o |
institut	i n s t i t u t |
interro	i n t e r r o |
invitation	i n v i t a t i o n |
isc	i s c |
ituri	i t u r i |
james	j a m e s |
je	j e |
jean	j e a n |
jeannine	j e a n n i n e |
jeans	j e a n s |
jeep	j e e p |
jeu	j e u |
jeune	j e u n e |
jeux	j e u x |
joseph	j o s e p h |
josephine	j o s e p h i n e |
joueur	j o u e u r |
journaliste	j o u r n a l i s t e |
jours	j o u r s |
judiciaire	j u d i c i a i r e |
juin	j u i n |
juve	j u v e |
kabakata	k a b a k a t a |
kabambare	k a b a m b a r e |
kabambi	k a b a m b i |
kabila	k a b i l a |
kaddhafi	k a d d h a f i |
kaka	k a k a |
kala	k a l a |
kalaka	k a l a k a |
kalamu	k a l a m u |
kali	k a l i |
kalina	k a l i n a |
kalle	k a l l e |
kambaki	k a m b a k i |
kameleon	k a m e l e o n |
kamerun	k a m e r u n |
kamwa	k a m w a |
kana	k a n a |
kanda	k a n d a |
kanga	k a n g a |
kanisa	k a n i s a |
kanyaka	k a n y a k a |
kanzaku	k a n z a k u |
karateka	k a r a t e k a |
kasayi	k a s a y i |
kasi	k a s i |
kata	k a t a |
kati	k a t i |
katikati	k a t i k a t i |
kato	k a t o |
kayina	k a y i n a |
kazaka	k a z a k a |
ke	k e |
keba	k e b a |
kelasi	k e l a s i |
kenya	k e n y a |
kesi	k e s i |
ketch	k e t c h |
kibokonzi	k i b o k o n z i |
kibolabola	k i b o l a b o l a |
kibolole	k i b o l o l e |
kibotata	k i b o t a t a |
kicherche	k i c h e r c h e |
kidumba	k i d u m b a |
kiexcellence	k i e x c e l l e n c e |
kifwafwa	k i f w a f w a |
kigangi	k i g a n g i |
kihonorable	k i h o n o r a b l e |
kikuku	k i k u k u |
kikwit	k i k w i t |
kilawu	k i l a w u |
kili	k i l i |
kilikili	k i l i k i l i |
kilo	k i l o |
kimia	k i m i a |
kimmbangu	k i m m b a n g u |
kimobali	k i m o b a l i |
kimoyibi	k i m o y i b i |
kimpa	k i m p a |
kimpangu	k i m p a n g u |
kimpwanza	k i m p w a n z a |
kimukolo	k i m u k o l o |
kimya	k i m y a |
kin	k i n |
kindeko	k i n d e k o |
kindoki	k i n d o k i |
kindumba	k i n d u m b a |
kingasani	k i n g a s a n i |
kingo	k i n g o |
kingoma	k i n g o m a |
kingunda	k i n g u n d a |
kino	k i n o |
kinoise	k i n o i s e |
kinshasa	k i n s h a s a |
kintambo	k i n t a m b o |
kinzonzi	k i n z o n z i |
kipe	k i p e |
kipelekese	k i p e l e k e s e |
kipiki	k i p i k i |
kisasa	k i s a s a |
kisi	k i s i |
kisinzili	k i s i n z i l i |
kitalatala	k i t a l a t a l a |
kitambala	k i t a m b a l a |
kitega	k i t e g a |
kitendi	k i t e n d i |
kiti	k i t i |
kitisa	k i t i s a |
kitoko	k i t o k o |
kitooko	k i t o o k o |
kitota	k i t o t a |
kivu	k i v u |
kiyanke	k i y a n k e |
kizunguzungu	k i z u n g u z u n g u |
klando	k l a n d o |
ko	k o |
koaider	k o a i d e r |
koanimer	k o a n i m e r |
koba	k o b a |
kobaka	k o b a k a |
kobakisela	k o b a k i s e l a |
kobala	k o b a l a |
kobalana	k o b a l a n a |
kobaluka	k o b a l u k a |
kobalukela	k o b a l u k e l a |
kobanda	k o b a n d a |
kobandela	k o b a n d e l a |
kobanga	k o b a n g a |
kobangabanga	k o b a n g a b a n g a |
kobangela	k o b a n g e l a |
kobangisa	k o b a n g i s a |
kobanza	k o b a n z a |
kobatama	k o b a t a m a |
kobatela	k o b a t e l a |
kobaye	k o b a y e |
kobeba	k o b e b a |
kobebisa	k o b e b i s a |
kobela	k o b e l a |
kobelela	k o b e l e l a |
kobenda	k o b e n d a |
kobenga	k o b e n g a |
kobengana	k o b e n g a n a |
kobeta	k o b e t a |
kobetama	k o b e t a m a |
kobetana	k o b e t a n a |
kobetela	k o b e t e l a |
kobikisa	k o b i k i s a |
kobima	k o b i m a |
kobimisa	k o b i m i s a |
kobina	k o b i n a |
kobinisa	k o b i n i s a |
kobokwama	k o b o k w a m a |
koboma	k o b o m a |
kobomana	k o b o m a n a |
kobomba	k o b o m b a |
kobombela	k o b o m b e l a |
kobondela	k o b o n d e l a |
kobongisa	k o b o n g i s a |
kobongola	k o b o n g o l a |
kobonza	k o b o n z a |
kobosana	k o b o s a n a |
kobosanaka	k o b o s a n a k a |
kobota	k o b o t a |
kobotama	k o b o t a m a |
koboya	k o b o y a |
kobuka	k o b u k a |
kobunda	k o b u n d a |
kobundana	k o b u n d a n a |
kobundela	k o b u n d e l a |
kobwaka	k o b w a k a |
kobwakama	k o b w a k a m a |
kobɔtɔlɔ	k o b ɔ t ɔ l ɔ |
kocomprendre	k o c o m p r e n d r e |
kocompter	k o c o m p t e r |
kocorriger	k o c o r r i g e r |
kodamer	k o d a m e r |
kodefa	k o d e f a |
kodie	k o d i e |
kodiongo	k o d i o n g o |
kodiriger	k o d i r i g e r |
kodiscuter	k o d i s c u t e r |
koengager	k o e n g a g e r |
koeviter	k o e v i t e r |
koexpliquer	k o e x p l i q u e r |
kofanda	k o f a n d a |
kofandaka	k o f a n d a k a |
kofazer	k o f a z e r |
koffi	k o f f i |
kofina	k o f i n a |
kofinga	k o f i n g a |
kofungola	k o f u n g o l a |
kofungwama	k o f u n g w a m a |
kofuta	k o f u t a |
kofutaka	k o f u t a k a |
kofutela	k o f u t e l a |
koganga	k o g a n g a |
kogenga	k o g e n g a |
kokabola	k o k a b o l a |
kokabolela	k o k a b o l e l a |
kokabwana	k o k a b w a n a |
kokamwa	k o k a m w a |
kokana	k o k a n a |
kokanga	k o k a n g a |
kokangama	k o k a n g a m a |
kokanisa	k o k a n i s a |
kokata	k o k a t a |
kokawuka	k o k a w u k a |
kokemba	k o k e m b a |
kokima	k o k i m a |
kokipe	k o k i p e |
kokita	k o k i t a |
kokitisa	k o k i t i s a |
koko	k o k o |
kokoba	k o k o b a |
kokoka	k o k o k a |
kokola	k o k o l a |
kokolisa	k o k o l i s a |
kokoma	k o k o m a |
kokomaka	k o k o m a k a |
kokomba	k o k o m b a |
kokomɛla	k o k o m ɛ l a |
kokosa	k o k o s a |
kokoso	k o k o s o |
kokota	k o k o t a |
kokotisa	k o k o t i s a |
kokufa	k o k u f a |
kokumba	k o k u m b a |
kokumisa	k o k u m i s a |
kokunda	k o k u n d a |
kokuta	k o k u t a |
kokutana	k o k u t a n a |
kokweisama	k o k w e i s a m a |
kokweya	k o k w e y a |
kokɔmbɔla	k o k ɔ m b ɔ l a |
kokɛnda	k o k ɛ n d a |
kokɛndaka	k o k ɛ n d a k a |
kokɛndɛ	k o k ɛ n d ɛ |
kokɛngɛla	k o k ɛ n g ɛ l a |
kolakisa	k o l a k i s a |
kolala	k o l a l a |
kolamba	k o l a m b a |
kolamuka	k o l a m u k a |
kolanda	k o l a n d a |
kolandana	k o l a n d a n a |
kolandela	k o l a n d e l a |
kolangwisa	k o l a n g w i s a |
kolata	k o l a t a |
koleisa	k o l e i s a |
koleka	k o l e k a |
kolekaleka	k o l e k a l e k a |
kolekana	k o l e k a n a |
kolekela	k o l e k e l a |
kolekisa	k o l e k i s a |
kolela	k o l e l a |
kolelaka	k o l e l a k a |
kolendisa	k o l e n d i s a |
kolia	k o l i a |
kolinga	k o l i n g a |
kolingama	k o l i n g a m a |
kolingana	k o l i n g a n a |
koliya	k o l i y a |
kolo	k o l o |
koloba	k o l o b a |
kolobaka	k o l o b a k a |
kolobela	k o l o b e l a |
koloka	k o l o k a |
kolokota	k o l o k o t a |
kolongisa	k o l o n g i s a |
kolongola	k o l o n g o l a |
kolota	k o l o t a |
koltani	k o l t a n i |
koluka	k o l u k a |
kolukela	k o l u k e l a |
kolula	k o l u l a |
kolɛmba	k o l ɛ m b a |
kolɛngɛla	k o l ɛ n g ɛ l a |
komata	k o m a t a |
kombekombe	k o m b e k o m b e |
kombo	k o m b o |
komeka	k o m e k a |
komema	k o m e m a |
komemela	k o m e m e l a |
komikitisa	k o m i k i t i s a |
komikotisa	k o m i k o t i s a |
komilobela	k o m i l o b e l a |
komilɛngɛla	k o m i l ɛ n g ɛ l a |
komimona	k o m i m o n a |
komitala	k o m i t a l a |
komitiya	k o m i t i y a |
komituna	k o m i t u n a |
komitungisa	k o m i t u n g i s a |
komiyokela	k o m i y o k e l a |
komona	k o m o n a |
komonaka	k o m o n a k a |
komonana	k o m o n a n a |
komonisa	k o m o n i s a |
komonisama	k o m o n i s a m a |
kompani	k o m p a n i |
kompanyi	k o m p a n y i |
komystike	k o m y s t i k e |
komystique	k o m y s t i q u e |
komɛla	k o m ɛ l a |
kondima	k o n d i m a |
kongala	k o n g a l a |
kongenga	k o n g e n g a |
kongo	k o n g o |
koningana	k o n i n g a n a |
konyɔkola	k o n y ɔ k o l a |
konyɔkwama	k o n y ɔ k w a m a |
konyɔlisa	k o n y ɔ l i s a |
konyɔngama	k o n y ɔ n g a m a |
konzo	k o n z o |
kop	k o p |
kopakola	k o p a k o l a |
kopambola	k o p a m b o l a |
kopangusa	k o p a n g u s a |
kopekisa	k o p e k i s a |
kopema	k o p e m a |
kopemisa	k o p e m i s a |
kopepa	k o p e p a |
kopesa	k o p e s a |
kopo	k o p o |
kopomper	k o p o m p e r |
kopota	k o p o t a |
kopreparer	k o p r e p a r e r |
kopumbwa	k o p u m b w a |
kopusana	k o p u s a n a |
koregretter	k o r e g r e t t e r |
kosakana	k o s a k a n a |
kosakola	k o s a k o l a |
kosala	k o s a l a |
kosalama	k o s a l a m a |
kosalela	k o s a l e l a |
kosalisa	k o s a l i s a |
kosambela	k o s a m b e l a |
kosambisa	k o s a m b i s a |
kosambwisa	k o s a m b w i s a |
kosangana	k o s a n g a n a |
kosangisa	k o s a n g i s a |
koseka	k o s e k a |
kosekisa	k o s e k i s a |
kosenga	k o s e n g a |
kosepela	k o s e p e l a |
kosepelisa	k o s e p e l i s a |
kosigner	k o s i g n e r |
kosilisa	k o s i l i s a |
kosimba	k o s i m b a |
kosolola	k o s o l o l a |
kosomba	k o s o m b a |
kosombela	k o s o m b e l a |
kosopana	k o s o p a n a |
kosoutenir	k o s o u t e n i r |
kostaffer	k o s t a f f e r |
kosuba	k o s u b a |
kosuka	k o s u k a |
kosukola	k o s u k o l a |
kosukosu	k o s u k o s u |
kosunga	k o s u n g a |
kosungama	k o s u n g a m a |
kosupporter	k o s u p p o r t e r |
koswana	k o s w a n a |
kota	k o t a |
kotaka	k o t a k a |
kotala	k o t a l a |
kotalana	k o t a l a n a |
kotalisa	k o t a l i s a |
kotambola	k o t a m b o l a |
kotambolatambola	k o t a m b o l a t a m b o l a |
kotambusa	k o t a m b u s a |
kotambusama	k o t a m b u s a m a |
kotanda	k o t a n d a |
kotanga	k o t a n g a |
kotangela	k o t a n g e l a |
koteka	k o t e k a |
kotekaka	k o t e k a k a |
kotekama	k o t e k a m a |
kotekela	k o t e k e l a |
kotekisa	k o t e k i s a |
kotelema	k o t e l e m a |
kotelematelema	k o t e l e m a t e l e m a |
kotelemela	k o t e l e m e l a |
kotelengana	k o t e l e n g a n a |
kotelenganaka	k o t e l e n g a n a k a |
kotengama	k o t e n g a m a |
kotepa	k o t e p a |
kotester	k o t e s t e r |
koteya	k o t e y a |
kotiela	k o t i e l a |
kotika	k o t i k a |
kotikala	k o t i k a l a |
kotikela	k o t i k e l a |
kotimola	k o t i m o l a |
kotinda	k o t i n d a |
kotindela	k o t i n d e l a |
kotingama	k o t i n g a m a |
kotiola	k o t i o l a |
kotiya	k o t i y a |
kotkot	k o t k o t |
kotoka	k o t o k a |
kotokisa	k o t o k i s a |
kotomboka	k o t o m b o k a |
kotombola	k o t o m b o l a |
kotonda	k o t o n d a |
kotongela	k o t o n g e l a |
kotumba	k o t u m b a |
kotuna	k o t u n a |
kotunaka	k o t u n a k a |
kotungisa	k o t u n g i s a |
kotuta	k o t u t a |
kotutana	k o t u t a n a |
kotɔnga	k o t ɔ n g a |
kotɔngama	k o t ɔ n g a m a |
kovivre	k o v i v r e |
kowela	k o w e l a |
kowolola	k o w o l o l a |
koya	k o y a |
koyamba	k o y a m b a |
koyanola	k o y a n o l a |
koyeba	k o y e b a |
koyebisa	k o y e b i s a |
koyekama	k o y e k a m a |
koyela	k o y e l a |
koyiba	k o y i b a |
koyimayima	k o y i m a y i m a |
koyinda	k o y i n d a |
koyinisa	k o y i n i s a |
koyoka	k o y o k a |
koyokaka	k o y o k a k a |
koyokana	k o y o k a n a |
kozala	k o z a l a |
kozanga	k o z a n g a |
kozangisa	k o z a n g i s a |
kozela	k o z e l a |
kozinda	k o z i n d a |
kozomela	k o z o m e l a |
kozonga	k o z o n g a |
kozongisa	k o z o n g i s a |
kozwa	k o z w a |
kozwela	k o z w e l a |
kravati	k r a v a t i |
ku	k u |
kufa	k u f a |
kuluna	k u l u n a |
kulutu	k u l u t u |
kumputu	k u m p u t u |
kuna	k u n a |
kundebembe	k u n d e b e m b e |
kundulpin	k u n d u l p i n |
kunzi	k u n z i |
kurage	k u r a g e |
kutu	k u t u |
kwanga	k w a n g a |
kwani	k w a n i |
kwedi	k w e d i |
kwele	k w e l e |
kwelekwele	k w e l e k w e l e |
kwiti	k w i t i |
kɛndɛ	k ɛ n d ɛ |
la	l a |
lac	l a c |
laisser	l a i s s e r |
laisserpasser	l a i s s e r p a s s e r |
lala	l a l a |
lamuka	l a m u k a |
landa	l a n d a |
landrover	l a n d r o v e r |
langue	l a n g u e |
lar	l a r |
lata	l a t a |
le	l e |
leki	l e k i |
lekisa	l e k i s a |
lela	l e l a |
lemba	l e m b a |
lepre	l e p r e |
les	l e s |
leta	l e t a |
lhomme	l h o m m e |
libabe	l i b a b e |
libaku	l i b a k u |
libala	l i b a l a |
libanais	l i b a n a i s |
liband	l i b a n d |
libanda	l i b a n d a |
libanga	l i b a n g a |
libaya	l i b a y a |
libela	l i b e l a |
libenga	l i b e n g a |
liberte	l i b e r t e |
libiki	l i b i k i |
libiso	l i b i s o |
liboke	l i b o k e |
liboko	l i b o k o |
liboma	l i b o m a |
libonza	l i b o n z a |
liboso	l i b o s o |
libota	l i b o t a |
libre	l i b r e |
libulu	l i b u l u |
libumu	l i b u m u |
libwa	l i b w a |
licencie	l i c e n c i e |
lieu	l i e u |
lifelo	l i f e l o |
lifuta	l i f u t a |
lifuti	l i f u t i |
ligablo	l i g a b l o |
likala	l i k a l a |
likama	l i k a m a |
likambo	l i k a m b o |
likanisi	l i k a n i s i |
likaya	l i k a y a |
likayabu	l i k a y a b u |
likili	l i k i l i |
likita	l i k i t a |
likofi	l i k o f i |
likol	l i k o l |
likolo	l i k o l o |
likololikolo	l i k o l o l i k o l o |
likonda	l i k o n d a |
likonga	l i k o n g a |
likunya	l i k u n y a |
lilita	l i l i t a |
lille	l i l l e |
liloba	l i l o b a |
limbisa	l i m b i s a |
limete	l i m e t e |
lingala	l i n g a l a |
lingomba	l i n g o m b a |
lingwala	l i n g w a l a |
lingwanda	l i n g w a n d a |
linzanza	l i n z a n z a |
lipa	l i p a |
lipamboli	l i p a m b o l i |
lipapa	l i p a p a |
lipela	l i p e l a |
liputa	l i p u t a |
lisano	l i s a n o |
lisapo	l i s a p o |
lisapoonge	l i s a p o o n g e |
lisolo	l i s o l o |
liste	l i s t e |
lisumu	l i s u m u |
lisusu	l i s u s u |
litama	l i t a m a |
litanga	l i t a n g a |
litomba	l i t o m b a |
litoyi	l i t o y i |
litshombe	l i t s h o m b e |
liwa	l i w a |
liyeli	l i y e l i |
liziba	l i z i b a |
loba	l o b a |
lobela	l o b e l a |
lobeto	l o b e t o |
lobi	l o b i |
loboko	l o b o k o |
lofundu	l o f u n d u |
logique	l o g i q u e |
lokasa	l o k a s a |
loketo	l o k e t o |
lokola	l o k o l a |
lokolo	l o k o l o |
lokumu	l o k u m u |
lokuta	l o k u t a |
lola	l o l a |
lolemo	l o l e m o |
lolendo	l o l e n d o |
lolenge	l o l e n g e |
lombango	l o m b a n g o |
lombangu	l o m b a n g u |
lommbangu	l o m m b a n g u |
londres	l o n d r e s |
longola	l o n g o l a |
longwa	l o n g w a |
loom	l o o m |
lopango	l o p a n g o |
lopitalo	l o p i t a l o |
loposo	l o p o s o |
losambo	l o s a m b o |
loso	l o s o |
lotomo	l o t o m o |
love	l o v e |
loyembo	l o y e m b o |
loyenge	l o y e n g e |
luanda	l u a n d a |
lubumbashi	l u b u m b a s h i |
luka	l u k a |
lukutu	l u k u t u |
lumiere	l u m i e r e |
lumumba	l u m u m b a |
lunda	l u n d a |
luozi	l u o z i |
lupemba	l u p e m b a |
luvunu	l u v u n u |
luzitu	l u z i t u |
lɛlɔ	l ɛ l ɔ |
lɛlɔkaka	l ɛ l ɔ k a k a |
m	m |
ma	m a |
maba	m a b a |
mabaluka	m a b a l u k a |
mabandi	m a b a n d i |
mabanga	m a b a n g a |
mabanki	m a b a n k i |
mabanzo	m a b a n z o |
mabaya	m a b a y a |
mabe	m a b e |
mabele	m a b e l e |
mabende	m a b e n d e |
mabiki	m a b i k i |
mabina	m a b i n a |
maboma	m a b o m a |
mabonza	m a b o n z a |
mabota	m a b o t a |
mabuluki	m a b u l u k i |
mabɔkɔ	m a b ɔ k ɔ |
machine	m a c h i n e |
madesu	m a d e s u |
mafu	m a f u |
mafuta	m a f u t a |
magasin	m a g a s i n |
magie	m a g i e |
mahele	m a h e l e |
mais	m a i s |
maitrizaka	m a i t r i z a k a |
makala	m a k a l a |
makalekale	m a k a l e k a l e |
makambo	m a k a m b o |
makambu	m a k a m b u |
makambuango	m a k a m b u a n g o |
makanisi	m a k a n i s i |
makaramba	m a k a r a m b a |
makasa	m a k a s a |
makasi	m a k a s i |
makelele	m a k e l e l e |
maki	m a k i |
makila	m a k i l a |
makoki	m a k o k i |
makolo	m a k o l o |
makomaki	m a k o m a k i |
makomi	m a k o m i |
makɔfi	m a k ɔ f i |
maladi	m a l a d i |
malamu	m a l a m u |
malamumalamu	m a l a m u m a l a m u |
malaria	m a l a r i a |
malasi	m a l a s i |
malekaki	m a l e k a k i |
malewa	m a l e w a |
malili	m a l i l i |
maloba	m a l o b a |
malonga	m a l o n g a |
malɛmbɛ	m a l ɛ m b ɛ |
malɛmbɛmalɛmbɛ	m a l ɛ m b ɛ m a l ɛ m b ɛ |
mama	m a m a |
mamaleki	m a m a l e k i |
mamona	m a m o n a |
mana	m a n a |
manga	m a n g a |
mangaselo	m a n g a s e l o |
mangbongi	m a n g b o n g i |
mango	m a n g o |
mangomba	m a n g o m b a |
mangondo	m a n g o n d o |
mangungu	m a n g u n g u |
manso	m a n s o |
manteka	m a n t e k a |
mapamboli	m a p a m b o l i |
mapango	m a p a n g o |
mapapu	m a p a p u |
mapata	m a p a t a |
maponomi	m a p o n o m i |
maputa	m a p u t a |
marc	m a r c |
marchandise	m a r c h a n d i s e |
marche	m a r c h e |
marches	m a r c h e s |
mardi	m a r d i |
marechal	m a r e c h a l |
marielouise	m a r i e l o u i s e |
mariya	m a r i y a |
marque	m a r q u e |
martyr	m a r t y r |
masanga	m a s a n g a |
masango	m a s a n g o |
masasi	m a s a s i |
masasu	m a s a s u |
masina	m a s i n a |
masolango	m a s o l a n g o |
masolo	m a s o l o |
masta	m a s t a |
masumu	m a s u m u |
masuwa	m a s u w a |
mataba	m a t a b a |
matakanelo	m a t a k a n e l o |
matama	m a t a m a |
matanga	m a t a n g a |
match	m a t c h |
matela	m a t e l a |
matembɛlɛ	m a t e m b ɛ l ɛ |
maternelle	m a t e r n e l l e |
mateya	m a t e y a |
mathematique	m a t h e m a t i q u e |
matiti	m a t i t i |
matolo	m a t o l o |
matonge	m a t o n g e |
matoyi	m a t o y i |
matrice	m a t r i c e |
matshombe	m a t s h o m b e |
mawa	m a w a |
mayanga	m a y a n g a |
mayi	m a y i |
mayuya	m a y u y a |
mayɔnnaise	m a y ɔ n n a i s e |
mayɛlɛ	m a y ɛ l ɛ |
mazalaki	m a z a l a k i |
mazali	m a z a l i |
mbala	m b a l a |
mbalakaka	m b a l a k a k a |
mbamba	m b a m b a |
mbanda	m b a n d a |
mbandaka	m b a n d a k a |
mbanga	m b a n g a |
mbango	m b a n g o |
mbangu	m b a n g u |
mbata	m b a t a |
mbati	m b a t i |
mbeka	m b e k a |
mbentenge	m b e n t e n g e |
mbetenge	m b e t e n g e |
mbila	m b i l a |
mbindo	m b i n d o |
mbinga	m b i n g a |
mbisi	m b i s i |
mbogo	m b o g o |
mboka	m b o k a |
mbondo	m b o n d o |
mbote	m b o t e |
mbu	m b u |
mbuji	m b u j i |
mbula	m b u l a |
mbunzu	m b u n z u |
mbɔngɔ	m b ɔ n g ɔ |
mbɛli	m b ɛ l i |
mbɛlɛ	m b ɛ l ɛ |
mbɛto	m b ɛ t o |
meka	m e k a |
meke	m e k e |
memela	m e m e l a |
memoire	m e m o i r e |
menace	m e n a c e |
menkao	m e n k a o |
mercedes	m e r c e d e s |
mere	m e r e |
mesa	m e s a |
mfumu	m f u m u |
miami	m i a m i |
mibale	m i b a l e |
mibali	m i b a l i |
mibimba	m i b i m b a |
mibwa	m i b w a |
micro	m i c r o |
midi	m i d i |
miguel	m i g u e l |
mikanda	m i k a n d a |
mike	m i k e |
mikemike	m i k e m i k e |
mikieee	m i k i e e e |
mikili	m i k i l i |
mikiliste	m i k i l i s t e |
mikokaki	m i k o k a k i |
mikolo	m i k o l o |
mikondo	m i k o n d o |
mikuwa	m i k u w a |
milangi	m i l a n g i |
milayi	m i l a y i |
miliki	m i l i k i |
milimo	m i l i m o |
milio	m i l i o |
militaire	m i l i t a i r e |
mille	m i l l e |
million	m i l l i o n |
millionnaires	m i l l i o n n a i r e s |
milolo	m i l o l o |
milɛlɔ	m i l ɛ l ɔ |
mimekano	m i m e k a n o |
mindoki	m i n d o k i |
minduki	m i n d u k i |
mindɔndɔ	m i n d ɔ n d ɔ |
mindɛlɛ	m i n d ɛ l ɛ |
minei	m i n e i |
minene	m i n e n e |
mingamba	m i n g a m b a |
minganga	m i n g a n g a |
mingi	m i n g i |
mingimingi	m i n g i m i n g i |
ministre	m i n i s t r e |
miniti	m i n i t i |
mino	m i n o |
minoko	m i n o k o |
minuit	m i n u i t |
minute	m i n u t e |
minutes	m i n u t e s |
minyɔkɔ	m i n y ɔ k ɔ |
mipanzi	m i p a n z i |
mipende	m i p e n d e |
mipepe	m i p e p e |
miraesa	m i r a e s a |
misala	m i s a l a |
misato	m i s a t o |
misere	m i s e r e |
misi	m i s i |
miso	m i s o |
misolo	m i s o l o |
mission	m i s s i o n |
misuni	m i s u n i |
misusu	m i s u s u |
misusubisika	m i s u s u b i s i k a |
mitano	m i t a n o |
mitelengano	m i t e l e n g a n o |
mitema	m i t e m a |
mitindo	m i t i n d o |
mitu	m i t u |
mituka	m i t u k a |
mituna	m i t u n a |
mituya	m i t u y a |
miye	m i y e |
miyibi	m i y i b i |
miyɔyɔ	m i y ɔ y ɔ |
mizalaki	m i z a l a k i |
miziki	m i z i k i |
mmbangu	m m b a n g u |
mmbangummbangu	m m b a n g u m m b a n g u |
mobali	m o b a l i |
mobatelinzoto	m o b a t e l i n z o t o |
mobebisa	m o b e b i s a |
mobebisasi	m o b e b i s a s i |
mobembo	m o b e m b o |
mobeti	m o b e t i |
mobimba	m o b i m b a |
mobokoli	m o b o k o l i |
mobola	m o b o l a |
mobu	m o b u |
mobukanaki	m o b u k a n a k i |
mobulu	m o b u l u |
mobutu	m o b u t u |
mode	m o d e |
modele	m o d e l e |
mohamed	m o h a m e d |
moindo	m o i n d o |
moins	m o i n s |
mois	m o i s |
moise	m o i s e |
mokali	m o k a l i |
mokanda	m o k a n d a |
mokano	m o k a n o |
mokatana	m o k a t a n a |
mokebato	m o k e b a t o |
mokili	m o k i l i |
moko	m o k o |
mokolo	m o k o l o |
mokoloto	m o k o l o t o |
mokomi	m o k o m i |
mokongo	m o k o n g o |
mokonzi	m o k o n z i |
mokosuka	m o k o s u k a |
mokumba	m o k u m b a |
mokumbi	m o k u m b i |
mokumbɛli	m o k u m b ɛ l i |
mokuse	m o k u s e |
mokuwa	m o k u w a |
mokuya	m o k u y a |
mokɛ	m o k ɛ |
mokɛngeli	m o k ɛ n g e l i |
molakisi	m o l a k i s i |
molangi	m o l a n g i |
molayi	m o l a y i |
molende	m o l e n d e |
molili	m o l i l i |
molimo	m o l i m o |
molingi	m o l i n g i |
moluba	m o l u b a |
moluka	m o l u k a |
moluki	m o l u k i |
molunge	m o l u n g e |
mombɔngɔ	m o m b ɔ n g ɔ |
momeseno	m o m e s e n o |
momie	m o m i e |
mon	m o n |
mona	m o n a |
monano	m o n a n o |
monde	m o n d e |
mondoki	m o n d o k i |
mondokinawa	m o n d o k i n a w a |
mondoyɔ	m o n d o y ɔ |
mondɛlɛ	m o n d ɛ l ɛ |
monene	m o n e n e |
mongaba	m o n g a b a |
mongali	m o n g a l i |
monganga	m o n g a n g a |
mongo	m o n g o |
mongongo	m o n g o n g o |
moninga	m o n i n g a |
mono	m o n o |
monoko	m o n o k o |
montre	m o n t r e |
monyato	m o n y a t o |
monzemba	m o n z e m b a |
monzoto	m o n z o t o |
mopanzi	m o p a n z i |
mopao	m o p a o |
mopaya	m o p a y a |
mopepe	m o p e p e |
moperso	m o p e r s o |
mopesi	m o p e s i |
mopiko	m o p i k o |
moprezo	m o p r e z o |
moro	m o r o |
mosaka	m o s a k a |
mosala	m o s a l a |
mosali	m o s a l i |
mosantu	m o s a n t u |
mosapi	m o s a p i |
mosengi	m o s e n g i |
mosenzi	m o s e n z i |
moshe	m o s h e |
mosika	m o s i k a |
mosilaki	m o s i l a k i |
mosili	m o s i l i |
mosisa	m o s i s a |
mosolo	m o s o l o |
mosuni	m o s u n i |
mosusu	m o s u s u |
motane	m o t a n e |
motema	m o t e m a |
motindo	m o t i n d o |
moto	m o t o |
motoba	m o t o b a |
motuka	m o t u k a |
motuna	m o t u n a |
motuya	m o t u y a |
move	m o v e |
mowei	m o w e i |
moyeke	m o y e k e |
moyekoli	m o y e k o l i |
moyen	m o y e n |
moyi	m o y i |
moyiangola	m o y i a n g o l a |
moyibi	m o y i b i |
moyike	m o y i k e |
moyimoyi	m o y i m o y i |
moziki	m o z i k i |
mozindo	m o z i n d o |
mozipami	m o z i p a m i |
mpamba	m p a m b a |
mpasi	m p a s i |
mpate	m p a t e |
mpe	m p e |
mpema	m p e m a |
mpenza	m p e n z a |
mpiaka	m p i a k a |
mpinzoli	m p i n z o l i |
mpio	m p i o |
mpion	m p i o n |
